name,style,ingredients,cook_time,difficulty,suitable_time,suitable_weather,suitable_season,source_recipe_id,source_url,source_category,source_main_taste,source_main_season,source_review_count,source_avg_rating,source_scrap_count
"찹스테이크 만들기, 폼나는 소고기요리",양식,"소고기,양파,표고버섯,통마늘,후추,버터,올리브유,허브솔트,맛술,케찹,올리고당,물,조리용나이프,키친타올",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6864725,https://www.10000recipe.com/recipe/6864725,양식,,,267,,
애호박 덮밥 혼밥으로 딱 좋아~,한식,"애호박,양파,고춧가루,마늘,참기름,식용유,계란",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6881286,https://www.10000recipe.com/recipe/6881286,밥/죽/떡,,,267,,
스팸김치찌개,한식,"김치,스팸,대파,참기름또는들기름,설탕,고춧가루,마늘,조리용나이프",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6841619,https://www.10000recipe.com/recipe/6841619,찌개,,,266,,
두부덮밥 만드는 법 마파두부가 아닌 간장소스로 ~,한식,"두부,애호박,당근,양파,마늘,간장,올리고당,참기름,식용유,전분물",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6865947,https://www.10000recipe.com/recipe/6865947,밥/죽/떡,,,265,,
대패삼겹살 숙주볶음 파채넣고 더 맛있게,한식,"대패삼겹살,숙주,봉지,파채,양파,고춧가루,간장,올리고당,맛술,마늘",15,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6892339,https://www.10000recipe.com/recipe/6892339,메인반찬,,,264,,
바쁜 아침 5분 뚝딱 !맛보장 '참치계란간장밥'레시피,한식,"밥,계란,참치,대파,간장,참기름,깨",5,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6894538,https://www.10000recipe.com/recipe/6894538,밥/죽/떡,,,259,,
간장오징어볶음 짭쪼롬하니 너무 맛있지요,한식,"오징어,애호박,당근,양파,대파,굵은소금,올리브유,간장,올리고당,설탕,미림,참기름,마늘,통깨",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6881969,https://www.10000recipe.com/recipe/6881969,메인반찬,,,257,,
백종원 새마을식당 7분김치찌개 만들기 초간단 돼지고기 김치찌개 만드는 방법,한식,"돼지고기앞다리살,김치,대파,된장,쌀뜨물,맛술,고춧가루,마늘,간장,조리용나이프,뚝배기",10,쉬움,"아침,점심,야식","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6886109,https://www.10000recipe.com/recipe/6886109,찌개,,,252,,
[감자수제비] 눈이 오는 날엔 포근포근 감자 수제비 만들기 -양싸,한식,"감자,밀가루,소금,애호박,대파,청양고추,멸치,다시마,계란,마늘,간장",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6843768,https://www.10000recipe.com/recipe/6843768,면/만두,,,250,,
다른반찬이 필요없는 두부짜글이로 밥한공기 뚝딱!,한식,"두부,양파,청양고추,대파,고춧가루,고추장,간장,설탕,마늘",30,쉬움,"점심,저녁","맑음,비,눈,더위,추위","봄,여름,가을,겨울",6910367,https://www.10000recipe.com/recipe/6910367,찌개,매콤함,미분류,250,,
